"Armenia","Mongolia","Tunisia","Azerbaijan","Jamaica","Jordan","Albania","South Africa","Montenegro","Georgia","Namibia","Serbia","El Salvador","Bosnia and Herzegovina","Kazakhstan","Guatemala"
4.05797439197,3.36966558269875,3.777254428775,4.64924492479875,3.94028509431875,4.50284576658875,3.87796613087125,3.8074697137425,3.90010216804,4.20013262408625,4.394864267045,3.42170725554,2.74767327196875,3.0934017577325,4.028254883905,3.32501347085625
3.85280592090248,3.11265856278856,3.82596305193935,4.54032563102432,4.0943741181473,4.3396066205599,3.5616439199554,4.31011070064185,4.1557612457287,4.1855322028719,4.21083010293746,4.08724348890254,3.9697800176793,3.30323660840152,4.20061706901828,3.81807473663586
4.1347566832805,4.3687413994,3.9449348254382,4.79553449369714,3.93716463213945,3.77762530010576,4.59515653713714,4.52274793556401,3.70527270351278,5.10260992059429,4.01686149525965,4.61028137592,4.46640197349143,4.8174539184814,4.16839655659348,4.93541278883348
5.99481544634473,5.59138258389567,5.9516973275275,5.71799561472613,6.10583605763803,5.63969200279449,6.23697273236677,4.46565496938082,5.90581377212795,5.78759164208558,4.77449484350349,6.02295695190669,5.31024258150381,5.97345935946669,5.94821695063411,4.97050623139043
4.42072077143037,4.50992756777283,4.09120069994116,4.46296362848858,4.377991882772,4.52377466752439,4.76769100474087,4.05952032513927,4.54196978871804,4.0208008906347,3.32457761758333,4.55420282280023,3.48516548131195,3.98094565461156,4.57211615766438,3.66738809998423
4.69917021406426,3.95441662130484,3.95271569481556,4.79670350122599,4.39526031291639,4.5077483718431,4.43174622310587,4.48282015570095,4.36338365693491,4.51251803841873,4.17965039358149,3.95554438721665,3.96288799941705,3.70089127948512,4.29340539910818,4.52021323857304
4.40133227972857,4.23395556157619,3.09284929149388,5.00697333243334,4.4536255463,3.96950394427143,3.96418420168005,3.96310177752381,4.17851005864218,4.39246626265646,4.59471301119048,3.96364384051429,3.42901030362653,3.49403131325397,4.56608927020476,3.84850511755079
3.87776277863333,2.99897197086667,3.3897926966,3.8430590868,4.57056383303333,3.98847638776667,3.80852109993333,4.35480976103333,4.23789494823333,4.058875998,4.20956745136667,3.56147724,4.15206151013333,3.49667619066667,3.30456853696667,4.89876503956667
4.08621298104878,4.17738387695667,3.72660674495072,4.55432808709505,4.1230030581573,4.29427495210357,4.07053578336448,4.581698783597,4.86497233025719,4.2643994546691,3.62830092661112,4.19424554193051,3.44388841472954,4.26998606369412,4.62671134142676,3.4369970812552
2.78776599014739,2.99570596892262,3.86061256874345,3.97317633765552,2.78193801650915,3.62273812140792,2.99039792890399,4.91389663908648,2.27699486123117,3.08808679901315,2.86843287946426,3.71879832956256,3.25709661829972,3.14707000290223,4.5457744999537,3.74971419012074
3.98620650647368,3.30467517742105,3.67334560352632,4.43932422831579,4.25916774647369,4.32627504747368,3.90203734436842,4.4912255688421,3.62805513347368,3.66923889363158,3.76927398373684,3.51604101547368,3.60046814626316,3.46701332147368,3.56224948457895,4.19853923189474
3.30810836677333,2.9867400964564,3.0718430319828,3.99663318119813,3.3540227025972,3.593018295618,3.19917439859893,3.79569374955733,3.16875859406933,2.79436278394053,3.24284145168893,3.10837864044933,2.5637045713808,2.716432747704,3.22008128719733,3.19591933481467
