DATE,GANQGSP
2005-01-01,381468.3
2005-04-01,384212.1
2005-07-01,387649.0
2005-10-01,394670.2
2006-01-01,396250.1
2006-04-01,399879.9
2006-07-01,404251.0
2006-10-01,409623.3
2007-01-01,407153.2
2007-04-01,412678.8
2007-07-01,418103.2
2007-10-01,421183.2
2008-01-01,411808.2
2008-04-01,413918.9
2008-07-01,414779.0
2008-10-01,406900.5
2009-01-01,405323.9
2009-04-01,405480.2
2009-07-01,405528.3
2009-10-01,407932.9
2010-01-01,408664.9
2010-04-01,411623.9
2010-07-01,416220.1
2010-10-01,422147.1
2011-01-01,422850.3
2011-04-01,425029.0
2011-07-01,429775.0
2011-10-01,433653.1
2012-01-01,438103.7
2012-04-01,442679.2
2012-07-01,446081.5
2012-10-01,447399.9
2013-01-01,455088.6
2013-04-01,455886.4
2013-07-01,460015.7
2013-10-01,467324.2
2014-01-01,472618.1
2014-04-01,482312.0
2014-07-01,490432.1
2014-10-01,495767.9
2015-01-01,505393.2
2015-04-01,514250.3
2015-07-01,519703.4
2015-10-01,523665.2
2016-01-01,533374.0
2016-04-01,538190.6
2016-07-01,542986.7
2016-10-01,550617.4
2017-01-01,559569.3
2017-04-01,562017.4
2017-07-01,569747.3
2017-10-01,582261.6
2018-01-01,589467.0
2018-04-01,598940.6
2018-07-01,607510.7
2018-10-01,612177.4
2019-01-01,616436.6
2019-04-01,622814.4
2019-07-01,629465.7
2019-10-01,634137.5
2020-01-01,631345.6
2020-04-01,580731.7
2020-07-01,627666.8
2020-10-01,637215.9
